"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"36","36","2018-12-31","@","OKC","L","102","122","31","74",".419","14","38",".368","26","34",".765","5","49","21","7","3","26","29","","46","103",".447","6","24",".250","24","35",".686","11","46","22","13","3","10","30","91.6","109.6","111.3",".459",".514",".573","51.6","67.7","6.3","3.8","",".514","22.6","12.5",".351","",".476","7.8","80.0",".233"
"37","37","2019-01-02","@","CHO","W","122","84","44","95",".463","18","45",".400","16","18",".889","12","57","31","9","4","10","14","","32","90",".356","6","32",".188","14","19",".737","12","46","23","4","3","14","20","124.2","85.5","98.2",".189",".474",".593","55.3","70.5","9.2","6.9","",".558","8.9","26.1",".168","",".389","12.5","78.9",".156"
"38","38","2019-01-04","@","BOS","L","93","114","34","88",".386","11","44",".250","14","19",".737","11","49","16","9","2","14","13","","42","96",".438","21","45",".467","9","11",".818","14","53","35","12","4","12","16","96.0","117.7","96.9",".216",".500",".483","48.0","47.1","9.3","3.9","",".449","12.7","22.0",".159","",".547","10.6","73.1",".094"
"39","39","2019-01-05","@","PHI","L","100","106","38","88",".432","9","31",".290","15","23",".652","9","49","27","4","3","15","23","","39","83",".470","6","26",".231","22","33",".667","8","49","31","7","5","10","20","99.5","105.5","100.5",".261",".352",".510","50.0","71.1","4.0","5.3","",".483","13.3","18.0",".170","",".506","9.3","83.3",".265"
"40","40","2019-01-07","","LAL","L","97","107","36","86",".419","8","30",".267","17","24",".708","14","52","12","10","7","18","20","","41","94",".436","8","29",".276","17","27",".630","11","44","28","12","2","13","20","95.7","105.6","101.4",".279",".349",".502","54.2","33.3","9.9","10.8","",".465","15.7","29.8",".198","",".479","10.9","77.6",".181"
"41","41","2019-01-09","","PHO","W","104","94","30","70",".429","12","34",".353","32","45",".711","8","42","21","7","5","19","17","","36","84",".429","7","25",".280","15","21",".714","7","37","22","10","8","15","34","105.8","95.6","98.3",".643",".486",".579","53.2","70.0","7.1","8.5","",".514","17.5","21.1",".457","",".470","13.9","82.9",".179"
"42","42","2019-01-11","@","MIN","W","119","115","44","97",".454","13","38",".342","18","24",".750","11","43","25","7","7","7","16","","47","102",".461","10","24",".417","11","13",".846","17","53","27","5","10","13","20","118.9","114.9","100.1",".247",".392",".553","44.8","56.8","7.0","9.0","",".521","6.1","23.4",".186","",".510","10.8","65.3",".108"
"43","43","2019-01-13","","GSW","L","114","119","38","91",".418","16","38",".421","22","29",".759","18","51","21","5","4","12","14","","45","99",".455","19","45",".422","10","12",".833","16","49","26","9","8","10","22","120.3","125.6","94.8",".319",".418",".549","51.0","55.3","5.3","7.4","",".505","10.4","35.3",".242","",".551","8.8","67.3",".101"
"44","44","2019-01-16","","SAS","L","101","105","37","86",".430","15","42",".357","12","16",".750","13","42","22","6","3","13","14","","41","83",".494","13","30",".433","10","12",".833","11","36","26","9","6","9","19","117.5","122.2","86.0",".186",".488",".543","53.8","59.5","7.0","5.7","",".517","12.3","34.2",".140","",".572","9.3","72.5",".120"
"45","45","2019-01-19","@","IND","L","99","111","37","88",".420","9","37",".243","16","20",".800","14","44","21","5","4","13","18","","42","85",".494","8","24",".333","19","24",".792","11","45","23","6","4","11","22","106.3","119.1","93.2",".227",".420",".511","49.4","56.8","5.4","6.6","",".472","11.8","29.2",".182","",".541","10.3","73.2",".224"
