"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"23","23","2018-12-03","@","TOR","W","106","103","40","89",".449","11","28",".393","15","24",".625","15","49","32","9","2","20","14","","40","87",".460","11","41",".268","12","12","1.000","7","41","28","11","5","17","21","104.6","101.6","101.4",".270",".315",".532","54.4","80.0","8.9","4.3","",".511","16.7","30.6",".169","",".523","15.6","82.9",".138"
"24","24","2018-12-05","@","ORL","W","124","118","45","82",".549","11","19",".579","23","37",".622","4","43","34","5","2","10","19","","45","95",".474","20","49",".408","8","8","1.000","6","40","30","4","4","9","23","122.3","116.4","91.8",".451",".232",".631","51.8","75.6","4.9","4.3","",".616","9.2","10.5",".280","",".579","8.4","86.7",".084"
"25","25","2018-12-07","@","CHO","L","107","113","39","101",".386","8","35",".229","21","26",".808","20","55","24","6","12","9","28","","33","86",".384","13","35",".371","34","38",".895","13","48","20","8","9","9","20","112.0","118.3","95.6",".257",".347",".476","53.4","61.5","6.3","23.5","",".426","7.4","36.4",".208","",".459","8.1","72.9",".395"
"26","26","2018-12-08","@","ATL","L","98","106","36","97",".371","9","36",".250","17","21",".810","11","48","28","11","4","15","16","","40","93",".430","15","42",".357","11","16",".688","9","51","33","9","11","18","23","92.0","99.5","106.6",".216",".371",".461","48.5","77.8","10.3","7.8","",".418","12.4","20.8",".175","",".511","15.2","80.4",".118"
"27","27","2018-12-10","","MEM","W","105","99","39","77",".506","9","28",".321","18","23",".783","11","40","22","11","6","13","17","","37","74",".500","9","27",".333","16","17",".941","6","34","22","7","4","14","19","119.5","112.7","87.9",".299",".364",".603","54.1","56.4","12.5","12.8","",".565","13.0","28.2",".234","",".561","14.7","82.9",".216"
"28","28","2018-12-14","","OKC","W","109","98","42","83",".506","11","34",".324","14","15",".933","12","48","29","8","6","20","24","","37","90",".411","7","19",".368","17","29",".586","19","43","14","9","4","13","17","115.1","103.5","94.7",".181",".410",".608","52.7","69.0","8.4","8.5","",".572","18.2","33.3",".169","",".450","11.2","65.5",".189"
"29","29","2018-12-16","","TOR","W","95","86","36","85",".424","10","30",".333","13","16",".813","10","44","21","7","4","8","14","","35","88",".398","7","35",".200","9","14",".643","13","51","13","5","4","11","16","107.1","97.0","88.7",".188",".353",".516","46.3","58.3","7.9","7.5","",".482","8.0","20.8",".153","",".438","10.5","72.3",".102"
"30","30","2018-12-18","","DAL","W","126","118","50","90",".556","12","29",".414","14","18",".778","12","47","33","7","3","15","28","","40","86",".465","15","37",".405","23","30",".767","6","33","26","8","1","8","17","127.4","119.3","98.9",".200",".322",".643","58.8","66.0","7.1","6.1","",".622","13.3","30.8",".156","",".552","7.5","85.4",".267"
"31","31","2018-12-22","@","LAC","L","111","132","41","97",".423","9","31",".290","20","25",".800","13","37","21","10","5","9","16","","53","92",".576","10","20",".500","16","17",".941","13","56","28","7","5","15","23","110.3","131.2","100.6",".258",".320",".514","39.8","51.2","9.9","6.9","",".469","7.7","23.2",".206","",".630","13.1","64.9",".174"
"32","32","2018-12-26","@","SAS","L","103","111","35","90",".389","18","40",".450","15","23",".652","11","47","29","10","3","12","17","","42","90",".467","10","32",".313","17","22",".773","7","50","29","6","4","10","17","103.2","111.2","99.8",".256",".444",".514","48.5","82.9","10.0","5.2","",".489","10.7","20.4",".167","",".522","9.1","83.7",".189"
"33","33","2018-12-28","","SAS","W","102","99","39","85",".459","10","29",".345","14","17",".824","16","52","29","5","4","20","20","","40","89",".449","8","27",".296","11","20",".550","12","38","23","14","3","10","19","109.1","105.9","93.5",".200",".341",".551","57.8","74.4","5.3","6.5","",".518","17.8","38.1",".165","",".494","9.3","75.0",".124"
