"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"69","69","2019-03-17","","TOR","W","110","107","39","83",".470","8","27",".296","24","27",".889","11","44","23","8","3","10","18","","39","82",".476","18","36",".500","11","14",".786","7","38","25","2","2","12","22","120.2","116.9","91.5",".325",".325",".580","53.7","59.0","8.7","6.5","",".518","9.5","26.2",".289","",".585","12.0","82.5",".134"
"70","70","2019-03-18","@","CLE","L","119","126","42","94",".447","18","44",".409","17","21",".810","19","47","24","6","4","11","21","","46","79",".582","11","22",".500","23","27",".852","5","36","22","6","3","8","16","128.9","136.4","92.4",".223",".468",".576","56.6","57.1","6.5","7.0","",".543","9.6","38.0",".181","",".652","8.1","84.8",".291"
"71","71","2019-03-21","@","PHO","W","118","98","38","90",".422","17","42",".405","25","34",".735","19","46","23","11","6","13","26","","35","73",".479","7","26",".269","21","26",".808","7","35","22","6","4","19","27","125.4","104.2","94.1",".378",".467",".562","56.8","60.5","11.7","12.8","",".517","11.0","40.4",".278","",".527","18.4","79.4",".288"
"72","72","2019-03-23","@","POR","L","112","117","42","84",".500","14","34",".412","14","14","1.000","6","29","24","9","3","7","21","","43","79",".544","11","26",".423","20","27",".741","11","42","22","4","4","12","14","125.4","131.0","89.3",".167",".405",".621","40.8","57.1","10.1","5.7","",".583","7.2","16.2",".167","",".614","11.7","67.6",".253"
"73","73","2019-03-24","@","GSW","L","114","121","39","84",".464","12","31",".387","24","25",".960","10","29","25","6","0","6","13","","46","74",".622","13","25",".520","16","19",".842","7","37","31","3","5","13","23","130.7","138.7","87.2",".298",".369",".600","43.9","64.1","6.9","0.0","",".536","5.9","25.0",".286","",".709","13.6","73.1",".216"
"74","74","2019-03-26","@","DEN","L","92","95","36","102",".353","11","42",".262","9","13",".692","17","56","19","5","2","6","21","","37","87",".425","7","27",".259","14","20",".700","11","56","22","3","2","14","19","96.3","99.4","95.5",".127",".412",".427","50.0","52.8","5.2","3.3","",".407","5.3","27.4",".088","",".466","12.8","78.0",".161"
"75","75","2019-03-28","","ORL","W","115","98","46","86",".535","17","35",".486","6","12",".500","10","43","25","8","9","11","18","","37","94",".394","8","31",".258","16","20",".800","15","43","21","5","4","12","14","124.0","105.7","92.7",".140",".407",".630","50.0","54.3","8.6","14.3","",".634","10.8","26.3",".070","",".436","10.5","68.8",".170"
"76","76","2019-03-30","","POR","W","99","90","37","86",".430","5","25",".200","20","26",".769","7","45","20","8","6","10","21","","38","102",".373","4","21",".190","10","11",".909","18","59","18","7","5","16","19","99.4","90.4","99.6",".302",".291",".508","43.3","54.1","8.0","7.4","",".459","9.3","14.6",".233","",".392","13.0","67.9",".098"
"77","77","2019-04-01","@","IND","L","102","111","38","88",".432","12","33",".364","14","19",".737","16","41","21","7","5","15","24","","42","77",".545","10","22",".455","17","22",".773","7","42","27","9","8","17","20","108.3","117.8","94.2",".216",".375",".529","49.4","55.3","7.4","9.1","",".500","13.5","31.4",".159","",".610","16.4","78.1",".221"
"78","78","2019-04-03","","IND","L","89","108","31","80",".388","11","41",".268","16","24",".667","11","46","21","6","5","18","25","","43","92",".467","6","21",".286","16","22",".727","10","44","31","9","4","11","18","91.3","110.8","97.5",".300",".513",".491","51.1","67.7","6.2","7.0","",".456","16.6","24.4",".200","",".500","9.8","77.8",".174"
"79","79","2019-04-05","@","OKC","L","110","123","35","81",".432","15","41",".366","25","31",".806","4","32","20","10","8","14","23","","48","101",".475","12","29",".414","15","22",".682","21","59","30","10","4","17","24","107.2","119.9","102.6",".383",".506",".581","35.2","57.1","9.7","11.1","",".525","12.9","9.5",".309","",".535","13.3","57.1",".149"
"80","80","2019-04-07","","CHO","L","91","104","34","92",".370","10","41",".244","13","15",".867","18","55","20","3","7","9","18","","38","88",".432","10","31",".323","18","23",".783","8","44","23","5","3","5","13","101.7","116.2","89.5",".163",".446",".461","55.6","58.8","3.4","12.3","",".424","8.4","33.3",".141","",".489","4.8","82.2",".205"
"81","81","2019-04-09","","MEM","W","100","93","35","88",".398","10","34",".294","20","28",".714","14","40","16","13","4","9","21","","33","69",".478","10","24",".417","17","21",".810","7","43","19","4","6","21","24","109.6","101.9","91.3",".318",".386",".498","48.2","45.7","14.2","8.9","",".455","8.2","28.0",".227","",".551","21.2","78.8",".246"
"82","82","2019-04-10","@","NYK","W","115","89","41","85",".482","14","33",".424","19","20",".950","11","56","25","5","2","13","23","","31","77",".403","9","30",".300","18","25",".720","4","33","23","7","5","11","17","123.0","95.2","93.5",".235",".388",".613","62.9","61.0","5.3","4.3","",".565","12.2","27.5",".224","",".461","11.1","91.8",".234"
