"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"25","25","2018-12-03","","DEN","L","103","106","40","87",".460","11","41",".268","12","12","1.000","7","41","28","11","5","17","21","","40","89",".449","11","28",".393","15","24",".625","15","49","32","9","2","20","14","101.6","104.6","101.4",".138",".471",".558","45.6","70.0","10.9","8.2","",".523","15.6","17.1",".138","",".511","16.7","69.4",".169"
"26","26","2018-12-05","","PHI","W","113","102","43","100",".430","8","29",".276","19","22",".864","17","53","25","12","3","11","13","","40","88",".455","11","35",".314","11","14",".786","11","49","26","7","5","21","23","111.0","100.2","101.8",".220",".290",".515","52.0","58.1","11.8","5.7","",".470","9.1","30.9",".190","",".517","18.2","76.6",".125"
"27","27","2018-12-07","@","BRK","L","105","106","35","89",".393","11","35",".314","24","29",".828","6","41","25","9","7","15","19","","43","98",".439","11","35",".314","9","13",".692","16","60","22","8","2","20","28","98.4","99.3","96.6",".326",".393",".516","40.6","71.4","8.4","11.1","",".455","12.8","12.0",".270","",".495","16.2","68.6",".092"
"28","28","2018-12-09","","MIL","L","99","104","39","94",".415","15","44",".341","6","7",".857","11","45","24","6","11","11","21","","36","87",".414","15","39",".385","17","20",".850","9","45","22","6","7","11","13","105.0","110.3","94.3",".074",".468",".510","50.0","61.5","6.4","22.9","",".495","10.2","23.4",".064","",".500","10.3","79.1",".195"
"29","29","2018-12-11","@","LAC","W","123","99","50","96",".521","14","29",".483","9","12",".750","10","43","34","8","6","7","22","","38","86",".442","7","25",".280","16","19",".842","12","44","25","2","5","15","16","128.8","103.7","95.5",".125",".302",".607","49.4","68.0","8.4","9.8","",".594","6.5","23.8",".094","",".483","13.7","73.3",".186"
"30","30","2018-12-12","@","GSW","W","113","93","44","91",".484","9","28",".321","16","19",".842","10","48","27","12","3","11","17","","39","82",".476","6","26",".231","9","13",".692","5","40","28","5","11","19","18","113.4","93.3","99.6",".209",".308",".569","54.5","61.4","12.0","5.4","",".533","10.0","22.2",".176","",".512","17.8","88.4",".110"
"31","31","2018-12-14","@","POR","L","122","128","43","78",".551","18","31",".581","18","21",".857","6","37","20","4","4","16","21","","48","94",".511","13","27",".481","19","21",".905","12","38","29","10","4","8","15","127.1","133.3","96.0",".269",".397",".699","49.3","46.5","4.2","6.0","",".667","15.5","18.8",".231","",".580","7.2","72.1",".202"
"32","32","2018-12-16","@","DEN","L","86","95","35","88",".398","7","35",".200","9","14",".643","13","51","13","5","4","11","16","","36","85",".424","10","30",".333","13","16",".813","10","44","21","7","4","8","14","97.0","107.1","88.7",".159",".398",".457","53.7","37.1","5.6","7.3","",".438","10.5","27.7",".102","",".482","8.0","79.2",".153"
"33","33","2018-12-19","","IND","W","99","96","38","93",".409","7","30",".233","16","21",".762","11","43","20","15","9","9","19","","38","80",".475","9","20",".450","11","16",".688","9","49","19","6","7","20","21","101.9","98.8","97.1",".226",".323",".484","46.7","52.6","15.4","15.0","",".446","8.1","21.6",".172","",".531","18.7","78.0",".138"
"34","34","2018-12-21","","CLE","W","126","110","48","91",".527","9","31",".290","21","26",".808","13","44","21","9","5","8","23","","39","82",".476","9","24",".375","23","30",".767","11","40","20","5","5","11","23","134.0","117.0","94.1",".286",".341",".615","52.4","43.8","9.6","8.6","",".577","7.2","31.0",".231","",".530","10.4","73.8",".280"
"35","35","2018-12-22","@","PHI","L","101","126","37","95",".389","10","40",".250","17","19",".895","8","41","17","5","2","15","24","","46","85",".541","8","24",".333","26","35",".743","4","53","33","10","7","11","21","94.2","117.5","107.2",".200",".421",".489","43.6","45.9","4.7","3.3","",".442","12.7","14.0",".179","",".588","9.9","89.2",".306"
"36","36","2018-12-26","@","MIA","W","106","104","37","79",".468","13","30",".433","19","23",".826","10","43","19","8","2","16","16","","43","83",".518","12","29",".414","6","12",".500","6","35","28","10","6","12","17","114.0","111.9","92.9",".291",".380",".595","55.1","51.4","8.6","3.7","",".551","15.2","25.6",".241","",".590","12.0","84.6",".072"
"37","37","2018-12-28","@","ORL","L","87","116","28","95",".295","12","34",".353","19","24",".792","14","41","18","4","10","11","21","","44","93",".473","9","26",".346","19","22",".864","11","60","29","3","8","15","20","86.4","115.3","100.6",".253",".358",".412","40.6","64.3","4.0","14.9","",".358","9.4","22.2",".200","",".522","12.7","71.1",".204"
"38","38","2018-12-30","","CHI","W","95","89","34","92",".370","9","33",".273","18","20",".900","17","52","17","5","8","11","15","","33","80",".413","7","20",".350","16","18",".889","7","44","16","7","2","16","16","102.0","95.6","93.1",".217",".359",".471","54.2","50.0","5.4","13.3","",".418","9.8","31.5",".196","",".456","15.4","83.3",".200"
"39","39","2019-01-01","","UTA","W","122","116","45","82",".549","7","20",".350","25","35",".714","5","45","18","4","6","9","21","","42","97",".433","9","32",".281","23","29",".793","12","43","23","6","4","4","27","122.9","116.9","99.3",".427",".244",".626","51.1","40.0","4.0","9.2","",".591","8.5","13.9",".305","",".479","3.5","76.9",".237"
"40","40","2019-01-03","@","SAS","L","107","125","39","87",".448","6","30",".200","23","29",".793","9","39","21","9","6","10","23","","47","85",".553","13","27",".481","18","20",".900","8","44","32","7","0","12","19","109.9","128.4","97.4",".333",".345",".536","47.0","53.8","9.2","10.3","",".483","9.1","20.0",".264","",".629","11.3","78.9",".212"
"41","41","2019-01-05","@","MIL","W","123","116","42","82",".512","14","31",".452","25","31",".806","4","38","28","9","6","11","22","","40","81",".494","14","37",".378","22","27",".815","4","38","29","9","2","14","20","121.7","114.8","101.0",".378",".378",".643","50.0","66.7","8.9","13.6","",".598","10.3","10.5",".305","",".580","13.1","89.5",".272"
"42","42","2019-01-06","","IND","W","121","105","44","85",".518","17","33",".515","16","17",".941","8","41","30","9","4","15","21","","43","94",".457","4","17",".235","15","20",".750","12","44","24","8","4","14","19","121.3","105.3","99.7",".200",".388",".654","48.2","68.2","9.0","5.2","",".618","14.0","20.0",".188","",".479","12.0","73.3",".160"
"43","43","2019-01-08","","ATL","W","104","101","37","80",".463","10","32",".313","20","27",".741","6","39","26","18","7","18","20","","40","87",".460","10","27",".370","11","16",".688","13","50","22","12","2","26","22","100.2","97.3","103.8",".338",".400",".566","43.8","70.3","17.3","11.7","",".525","16.4","14.0",".250","",".517","21.7","71.7",".126"
"44","44","2019-01-11","","BRK","W","122","105","48","105",".457","11","35",".314","15","24",".625","13","55","32","10","4","9","22","","37","88",".420","11","30",".367","20","30",".667","9","54","20","4","4","17","21","112.3","96.6","108.6",".229",".333",".528","50.5","66.7","9.2","6.9","",".510","7.2","22.4",".143","",".483","14.4","82.4",".227"
"45","45","2019-01-13","@","WAS","W","140","138","49","104",".471","13","36",".361","29","36",".806","17","59","24","16","8","21","27","","54","118",".458","19","44",".432","11","18",".611","17","51","36","11","7","20","28","114.2","112.5","101.5",".346",".346",".584","53.6","49.0","13.0","10.8","",".534","14.9","33.3",".279","",".538","13.7","71.2",".093"
"46","46","2019-01-16","@","BOS","L","108","117","41","92",".446","7","29",".241","19","21",".905","14","42","20","9","2","10","14","","46","92",".500","14","30",".467","11","13",".846","14","49","32","7","6","14","24","113.9","123.4","94.8",".228",".315",".533","46.2","48.8","9.5","3.2","",".484","9.0","28.6",".207","",".576","12.5","66.7",".120"
"47","47","2019-01-17","","PHO","W","111","109","43","86",".500","7","28",".250","18","25",".720","9","39","27","8","8","14","27","","36","84",".429","9","30",".300","28","36",".778","15","46","18","9","8","16","21","112.7","110.7","98.5",".291",".326",".572","45.9","62.8","8.1","14.8","",".541","12.6","22.5",".209","",".482","13.8","66.7",".333"
"48","48","2019-01-19","","MEM","W","119","90","44","90",".489","17","36",".472","14","16",".875","8","37","31","19","8","10","17","","34","80",".425","10","29",".345","12","15",".800","10","42","21","7","3","24","13","122.7","92.8","97.0",".178",".400",".613","46.8","70.5","19.6","15.7","",".583","9.3","20.0",".156","",".488","21.7","74.4",".150"
"49","49","2019-01-22","","SAC","W","120","105","40","91",".440","16","40",".400","24","35",".686","12","46","25","7","5","16","21","","41","91",".451","7","21",".333","16","22",".727","10","43","29","8","7","14","27","115.3","100.9","104.0",".385",".440",".564","51.7","62.5","6.7","7.1","",".527","13.1","26.7",".264","",".489","12.2","77.3",".176"
"50","50","2019-01-23","@","IND","L","106","110","38","92",".413","12","39",".308","18","23",".783","10","45","28","2","5","9","22","","40","92",".435","9","26",".346","21","25",".840","12","48","27","6","7","6","23","110.7","114.9","95.7",".250",".424",".519","48.4","73.7","2.1","7.6","",".478","8.1","21.7",".196","",".484","5.5","74.5",".228"
"51","51","2019-01-25","@","HOU","L","119","121","44","91",".484","14","36",".389","17","18",".944","12","47","27","4","1","19","25","","41","91",".451","10","46",".217","29","33",".879","12","40","17","11","5","12","21","116.3","118.2","102.3",".198",".396",".601","54.0","61.4","3.9","2.2","",".560","16.1","30.0",".187","",".505","10.2","74.5",".319"
"52","52","2019-01-27","@","DAL","W","123","120","37","83",".446","17","34",".500","32","38",".842","8","44","24","6","5","7","27","","43","88",".489","11","36",".306","23","34",".676","7","43","25","5","2","11","29","122.4","119.4","100.5",".458",".410",".617","50.6","64.9","6.0","9.6","",".548","6.6","18.2",".386","",".551","9.7","83.7",".261"
"53","53","2019-01-31","","MIL","L","92","105","37","93",".398","7","27",".259","11","13",".846","8","39","16","9","4","16","20","","39","79",".494","14","38",".368","13","17",".765","7","50","21","13","6","18","16","91.7","104.6","100.4",".140",".290",".466","43.8","43.2","9.0","9.8","",".435","13.9","15.7",".118","",".582","17.2","81.6",".165"
