"Rk","G","Date"," ","Opp","W/L","Tm","Opp","FG","FGA","FG%","3P","3PA","3P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF"," ","oppFG","oppFGA","oppFG%","opp3P","opp3PA","opp3P%","oppFT","oppFTA","oppFT%","oppORB","oppTRB","oppAST","oppSTL","oppBLK","oppTOV","oppPF","ORtg","DRtg","Pace","FTr","3PAr","TS%","TRB%","AST%","STL%","BLK%"," ","oeFG%","oTOV%","oORB%","oFT/FGA"," ","deFG%","dTOV%","dDRB%","dFT/FGA"
"41","41","2019-01-06","@","CHI","W","117","100","42","83",".506","16","46",".348","17","22",".773","6","38","29","6","3","9","16","","41","88",".466","7","18",".389","11","15",".733","11","44","20","6","4","12","15","125.0","106.8","93.6",".265",".554",".631","46.3","69.0","6.4","4.3","",".602","8.9","15.4",".205","",".506","11.3","74.4",".125"
"42","42","2019-01-07","@","BOS","L","95","116","32","79",".405","11","42",".262","20","22",".909","9","47","19","5","4","23","16","","47","93",".505","12","32",".375","10","12",".833","6","43","37","13","2","13","21","92.7","113.1","102.5",".278",".532",".536","52.2","59.4","4.9","6.6","",".475","20.6","19.6",".253","",".570","11.7","86.4",".108"
"43","43","2019-01-09","","ATL","W","116","100","43","95",".453","10","30",".333","20","26",".769","18","54","21","10","9","18","28","","36","99",".364","6","35",".171","22","25",".880","18","52","17","8","6","19","24","110.7","95.4","104.8",".274",".316",".545","50.9","48.8","9.5","14.1","",".505","14.5","34.6",".211","",".394","14.7","66.7",".222"
"44","44","2019-01-11","@","TOR","L","105","122","37","88",".420","11","30",".367","20","30",".667","9","54","20","4","4","17","21","","48","105",".457","11","35",".314","15","24",".625","13","55","32","10","4","9","22","96.6","112.3","108.6",".341",".341",".519","49.5","54.1","3.7","5.7","",".483","14.4","17.6",".227","",".510","7.2","77.6",".143"
"45","45","2019-01-14","","BOS","W","109","102","37","86",".430","13","38",".342","22","25",".880","13","55","18","5","7","17","20","","37","91",".407","11","36",".306","17","23",".739","10","41","21","10","8","10","21","110.9","103.8","98.3",".291",".442",".562","57.3","48.6","5.1","12.7","",".506","14.9","29.5",".256","",".467","9.0","80.8",".187"
"46","46","2019-01-16","@","HOU","W","145","142","56","108",".519","16","36",".444","17","22",".773","16","57","29","4","3","13","25","","45","105",".429","23","70",".329","29","34",".853","10","47","18","7","8","8","24","127.7","125.1","102.8",".204",".333",".616","54.8","51.8","3.5","8.6","",".593","9.9","30.2",".157","",".538","6.3","80.4",".276"
"47","47","2019-01-18","@","ORL","W","117","115","44","97",".454","19","46",".413","10","15",".667","9","41","24","5","5","11","19","","47","94",".500","10","26",".385","11","14",".786","12","49","26","5","6","13","18","116.0","114.0","100.9",".155",".474",".565","45.6","54.5","5.0","7.4","",".552","9.6","19.6",".103","",".553","11.5","72.7",".117"
"48","48","2019-01-21","","SAC","W","123","94","45","90",".500","13","35",".371","20","24",".833","12","56","25","9","4","16","15","","39","93",".419","10","25",".400","6","11",".545","10","37","26","8","4","14","20","122.1","93.3","100.7",".267",".389",".612","60.2","55.6","8.9","5.9","",".572","13.7","30.8",".222","",".473","12.5","81.5",".065"
"49","49","2019-01-23","","ORL","W","114","110","43","90",".478","10","32",".313","18","23",".783","12","45","20","7","2","16","22","","38","89",".427","11","34",".324","23","28",".821","11","42","22","7","11","13","19","113.6","109.6","100.4",".256",".356",".569","51.7","46.5","7.0","3.6","",".533","13.8","27.9",".200","",".489","11.4","75.0",".258"
"50","50","2019-01-25","","NYK","W","109","99","34","84",".405","9","33",".273","32","47",".681","18","60","19","5","2","19","21","","37","87",".425","8","31",".258","17","26",".654","6","33","17","12","11","8","31","109.5","99.4","99.6",".560",".393",".521","64.5","55.9","5.0","3.6","",".458","15.4","40.0",".381","",".471","7.5","87.5",".195"
"51","51","2019-01-28","@","BOS","L","104","112","39","103",".379","13","34",".382","13","16",".813","16","48","20","10","5","17","20","","45","100",".450","13","40",".325","9","10",".900","16","52","29","11","16","17","16","100.6","108.4","103.4",".155",".330",".473","48.0","51.3","9.7","8.3","",".442","13.4","30.8",".126","",".515","14.0","66.7",".090"
"52","52","2019-01-29","","CHI","W","122","117","42","94",".447","10","35",".286","28","40",".700","7","43","25","11","2","8","21","","47","94",".500","9","28",".321","14","19",".737","5","50","17","6","8","17","29","109.4","104.9","111.5",".426",".372",".547","46.2","59.5","9.9","3.0","",".500","6.7","13.5",".298","",".548","14.2","87.8",".149"
